date,game_id,away_team,home_team,away_score,home_score,winner
2025-08-25,776604,Boston Red Sox,Baltimore Orioles,4,3,away
2025-08-25,776601,Tampa Bay Rays,Cleveland Guardians,9,0,away
2025-08-25,776600,Atlanta Braves,Miami Marlins,1,2,home
2025-08-25,776597,Washington Nationals,New York Yankees,5,10,home
2025-08-25,776596,Minnesota Twins,Toronto Blue Jays,4,10,home
2025-08-25,776598,Philadelphia Phillies,New York Mets,3,13,home
2025-08-25,776599,Kansas City Royals,Chicago White Sox,0,7,home
2025-08-25,776593,Arizona Diamondbacks,Milwaukee Brewers,5,7,home
2025-08-25,776589,Pittsburgh Pirates,St. Louis Cardinals,6,7,home
2025-08-25,776592,Los Angeles Angels,Texas Rangers,4,0,away
2025-08-25,776595,San Diego Padres,Seattle Mariners,6,9,home
2025-08-25,776590,Detroit Tigers,Athletics,3,8,home
2025-08-25,776594,Cincinnati Reds,Los Angeles Dodgers,0,7,home
2025-08-24,776610,Colorado Rockies,Pittsburgh Pirates,0,4,home
2025-08-24,776606,St. Louis Cardinals,Tampa Bay Rays,2,7,home
2025-08-24,776612,Houston Astros,Baltimore Orioles,2,3,home
2025-08-24,776613,Washington Nationals,Philadelphia Phillies,2,3,home
2025-08-24,776624,New York Mets,Atlanta Braves,3,4,home
2025-08-24,776615,Kansas City Royals,Detroit Tigers,10,8,away
2025-08-24,776614,Toronto Blue Jays,Miami Marlins,3,5,home
2025-08-24,776607,Minnesota Twins,Chicago White Sox,0,8,home
2025-08-24,776608,San Francisco Giants,Milwaukee Brewers,4,3,away
2025-08-24,776611,Cleveland Guardians,Texas Rangers,0,5,home
2025-08-24,776605,Chicago Cubs,Los Angeles Angels,4,3,away
2025-08-24,776609,Cincinnati Reds,Arizona Diamondbacks,6,1,away
2025-08-24,776603,Los Angeles Dodgers,San Diego Padres,8,2,away
2025-08-24,776602,Athletics,Seattle Mariners,4,11,home
2025-08-24,776616,Boston Red Sox,New York Yankees,2,7,home
2025-08-23,776627,Boston Red Sox,New York Yankees,12,1,away
2025-08-23,776630,Toronto Blue Jays,Miami Marlins,7,6,away
2025-08-23,776628,Washington Nationals,Philadelphia Phillies,4,6,home
2025-08-23,776625,Kansas City Royals,Detroit Tigers,2,4,home
2025-08-23,776632,Colorado Rockies,Pittsburgh Pirates,1,5,home
2025-08-23,776629,Houston Astros,Baltimore Orioles,9,8,away
2025-08-23,776623,Cleveland Guardians,Texas Rangers,0,10,home
2025-08-23,776619,Minnesota Twins,Chicago White Sox,3,7,home
2025-08-23,776621,San Francisco Giants,Milwaukee Brewers,7,1,away
2025-08-23,776626,New York Mets,Atlanta Braves,9,2,away
2025-08-23,776622,Cincinnati Reds,Arizona Diamondbacks,1,10,home
2025-08-23,776617,Los Angeles Dodgers,San Diego Padres,1,5,home
2025-08-23,776618,Chicago Cubs,Los Angeles Angels,12,1,away
2025-08-23,776620,Athletics,Seattle Mariners,2,1,away
2025-08-22,776637,Colorado Rockies,Pittsburgh Pirates,0,9,home
2025-08-22,776648,Washington Nationals,Philadelphia Phillies,5,4,away
2025-08-22,776643,Houston Astros,Baltimore Orioles,10,7,away
2025-08-22,776647,Boston Red Sox,New York Yankees,1,0,away
2025-08-22,776649,Kansas City Royals,Detroit Tigers,5,7,home
2025-08-22,776646,Toronto Blue Jays,Miami Marlins,5,2,away
2025-08-22,776645,New York Mets,Atlanta Braves,12,7,away
2025-08-22,776633,St. Louis Cardinals,Tampa Bay Rays,6,10,home
2025-08-22,776639,Minnesota Twins,Chicago White Sox,9,7,away
2025-08-22,776641,Cleveland Guardians,Texas Rangers,3,4,home
2025-08-22,776634,San Francisco Giants,Milwaukee Brewers,4,5,home
2025-08-22,776640,Chicago Cubs,Los Angeles Angels,3,2,away
2025-08-22,776635,Cincinnati Reds,Arizona Diamondbacks,5,6,home
2025-08-22,776636,Los Angeles Dodgers,San Diego Padres,1,2,home
2025-08-22,776638,Athletics,Seattle Mariners,2,3,home
2025-08-21,776653,Athletics,Minnesota Twins,8,3,away
2025-08-21,776657,Texas Rangers,Kansas City Royals,4,6,home
2025-08-21,776651,Milwaukee Brewers,Chicago Cubs,4,1,away
2025-08-21,776644,Los Angeles Dodgers,Colorado Rockies,9,5,away
2025-08-21,776650,New York Mets,Washington Nationals,3,9,home
2025-08-21,776642,San Francisco Giants,San Diego Padres,4,8,home
2025-08-21,776655,Houston Astros,Baltimore Orioles,7,2,away
2025-08-21,776654,Boston Red Sox,New York Yankees,6,3,away
2025-08-21,776631,St. Louis Cardinals,Tampa Bay Rays,7,4,away
2025-08-20,776661,Toronto Blue Jays,Pittsburgh Pirates,1,2,home
2025-08-20,776662,Seattle Mariners,Philadelphia Phillies,2,11,home
2025-08-20,776673,Houston Astros,Detroit Tigers,2,7,home
2025-08-20,776658,Cleveland Guardians,Arizona Diamondbacks,2,3,home
2025-08-20,776670,St. Louis Cardinals,Miami Marlins,2,6,home
2025-08-20,776659,New York Mets,Washington Nationals,4,5,home
2025-08-20,776669,Chicago White Sox,Atlanta Braves,0,1,home
2025-08-20,776664,New York Yankees,Tampa Bay Rays,6,4,away
2025-08-20,776666,Texas Rangers,Kansas City Royals,6,3,away
2025-08-20,776665,Athletics,Minnesota Twins,4,2,away
2025-08-20,776663,Milwaukee Brewers,Chicago Cubs,3,4,home
2025-08-20,776660,Los Angeles Dodgers,Colorado Rockies,3,8,home
2025-08-20,776652,Cincinnati Reds,Los Angeles Angels,1,2,home
2025-08-20,776656,San Francisco Giants,San Diego Padres,1,8,home
2025-08-19,776691,Milwaukee Brewers,Chicago Cubs,4,6,home
2025-08-19,776676,Milwaukee Brewers,Chicago Cubs,1,4,home
2025-08-19,776685,Houston Astros,Detroit Tigers,0,1,home
2025-08-19,776679,Toronto Blue Jays,Pittsburgh Pirates,7,3,away
2025-08-19,776686,St. Louis Cardinals,Miami Marlins,7,4,away
2025-08-19,776678,New York Mets,Washington Nationals,8,1,away
2025-08-19,776680,Seattle Mariners,Philadelphia Phillies,4,6,home
2025-08-19,776684,Baltimore Orioles,Boston Red Sox,4,3,away
2025-08-19,776687,Chicago White Sox,Atlanta Braves,10,11,home
2025-08-19,776677,New York Yankees,Tampa Bay Rays,13,3,away
2025-08-19,776675,Texas Rangers,Kansas City Royals,2,5,home
2025-08-19,776674,Athletics,Minnesota Twins,6,3,away
2025-08-19,776671,Los Angeles Dodgers,Colorado Rockies,11,4,away
2025-08-19,776668,Cincinnati Reds,Los Angeles Angels,6,4,away
2025-08-19,776672,Cleveland Guardians,Arizona Diamondbacks,5,6,home
2025-08-19,776667,San Francisco Giants,San Diego Padres,1,5,home
2025-08-18,777459,Milwaukee Brewers,Chicago Cubs,7,0,away
2025-08-18,776692,Houston Astros,Detroit Tigers,0,10,home
2025-08-18,776694,Toronto Blue Jays,Pittsburgh Pirates,2,5,home
2025-08-18,776688,St. Louis Cardinals,Miami Marlins,8,3,away
2025-08-18,776689,Seattle Mariners,Philadelphia Phillies,7,12,home
2025-08-18,776695,Baltimore Orioles,Boston Red Sox,6,3,away
2025-08-18,776696,Chicago White Sox,Atlanta Braves,13,9,away
2025-08-18,776690,Texas Rangers,Kansas City Royals,3,4,home
2025-08-18,776693,Los Angeles Dodgers,Colorado Rockies,3,4,home
2025-08-18,776681,Cincinnati Reds,Los Angeles Angels,4,1,away
2025-08-18,776682,Cleveland Guardians,Arizona Diamondbacks,3,1,away
2025-08-18,776683,San Francisco Giants,San Diego Padres,4,3,away
2025-08-17,776708,Philadelphia Phillies,Washington Nationals,11,9,away
2025-08-17,776714,Miami Marlins,Boston Red Sox,5,3,away
2025-08-17,776710,Texas Rangers,Toronto Blue Jays,10,4,away
2025-08-17,776706,Atlanta Braves,Cleveland Guardians,5,4,away
2025-08-17,776709,Milwaukee Brewers,Cincinnati Reds,2,3,home
2025-08-17,776705,Baltimore Orioles,Houston Astros,12,0,away
2025-08-17,776700,Detroit Tigers,Minnesota Twins,1,8,home
2025-08-17,776702,Chicago White Sox,Kansas City Royals,2,6,home
2025-08-17,776698,New York Yankees,St. Louis Cardinals,8,4,away
2025-08-17,776704,Pittsburgh Pirates,Chicago Cubs,3,4,home
2025-08-17,776701,Arizona Diamondbacks,Colorado Rockies,5,6,home
2025-08-17,776699,Los Angeles Angels,Athletics,11,5,away
2025-08-17,776703,Tampa Bay Rays,San Francisco Giants,1,7,home
2025-08-17,776697,San Diego Padres,Los Angeles Dodgers,4,5,home
2025-08-17,776707,Seattle Mariners,New York Mets,3,7,home
2025-08-16,776719,Pittsburgh Pirates,Chicago Cubs,1,3,home
2025-08-16,776723,Texas Rangers,Toronto Blue Jays,2,14,home
2025-08-16,776725,Philadelphia Phillies,Washington Nationals,0,2,home
2025-08-16,776726,Seattle Mariners,New York Mets,1,3,home
2025-08-16,776724,Miami Marlins,Boston Red Sox,5,7,home
2025-08-16,776721,Milwaukee Brewers,Cincinnati Reds,6,5,away
2025-08-16,776722,Baltimore Orioles,Houston Astros,4,5,home
2025-08-16,776720,Atlanta Braves,Cleveland Guardians,10,1,away
2025-08-16,776712,Chicago White Sox,Kansas City Royals,2,6,home
2025-08-16,776716,Detroit Tigers,Minnesota Twins,8,5,away
2025-08-16,776713,New York Yankees,St. Louis Cardinals,12,8,away
2025-08-16,776715,Arizona Diamondbacks,Colorado Rockies,7,10,home
2025-08-16,776711,Tampa Bay Rays,San Francisco Giants,2,1,away
2025-08-16,776717,San Diego Padres,Los Angeles Dodgers,0,6,home
2025-08-16,776718,Los Angeles Angels,Athletics,2,7,home
