date,away_team,home_team,home_wins,away_pitcher_era,home_pitcher_era,away_pitcher_whip,home_pitcher_whip,away_pitcher_k9,home_pitcher_k9,era_advantage,whip_advantage,strikeout_advantage,pitcher_win_pct_diff,home_pitcher_quality,away_pitcher_quality,home_field,pitcher_quality_advantage
2025-08-25,Boston Red Sox,Baltimore Orioles,0,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-25,Tampa Bay Rays,Cleveland Guardians,0,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-25,Atlanta Braves,Miami Marlins,1,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-25,Washington Nationals,New York Yankees,1,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-25,Minnesota Twins,Toronto Blue Jays,1,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-25,Philadelphia Phillies,New York Mets,1,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-25,Kansas City Royals,Chicago White Sox,1,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-25,Arizona Diamondbacks,Milwaukee Brewers,1,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-25,Pittsburgh Pirates,St. Louis Cardinals,1,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-25,Los Angeles Angels,Texas Rangers,0,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-25,San Diego Padres,Seattle Mariners,1,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-25,Detroit Tigers,Athletics,1,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-25,Cincinnati Reds,Los Angeles Dodgers,1,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-24,Colorado Rockies,Pittsburgh Pirates,1,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-24,St. Louis Cardinals,Tampa Bay Rays,1,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-24,Houston Astros,Baltimore Orioles,1,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-24,Washington Nationals,Philadelphia Phillies,1,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-24,New York Mets,Atlanta Braves,1,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-24,Kansas City Royals,Detroit Tigers,0,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-24,Toronto Blue Jays,Miami Marlins,1,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-24,Minnesota Twins,Chicago White Sox,1,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-24,San Francisco Giants,Milwaukee Brewers,0,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-24,Cleveland Guardians,Texas Rangers,1,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-24,Chicago Cubs,Los Angeles Angels,0,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-24,Cincinnati Reds,Arizona Diamondbacks,0,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-24,Los Angeles Dodgers,San Diego Padres,0,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-24,Athletics,Seattle Mariners,1,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-24,Boston Red Sox,New York Yankees,1,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-23,Boston Red Sox,New York Yankees,0,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-23,Toronto Blue Jays,Miami Marlins,0,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-23,Washington Nationals,Philadelphia Phillies,1,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-23,Kansas City Royals,Detroit Tigers,1,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-23,Colorado Rockies,Pittsburgh Pirates,1,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-23,Houston Astros,Baltimore Orioles,0,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-23,Cleveland Guardians,Texas Rangers,1,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-23,Minnesota Twins,Chicago White Sox,1,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-23,San Francisco Giants,Milwaukee Brewers,0,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-23,New York Mets,Atlanta Braves,0,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-23,Cincinnati Reds,Arizona Diamondbacks,1,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-23,Los Angeles Dodgers,San Diego Padres,1,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-23,Chicago Cubs,Los Angeles Angels,0,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-23,Athletics,Seattle Mariners,0,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-22,Colorado Rockies,Pittsburgh Pirates,1,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-22,Washington Nationals,Philadelphia Phillies,0,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-22,Houston Astros,Baltimore Orioles,0,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-22,Boston Red Sox,New York Yankees,0,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-22,Kansas City Royals,Detroit Tigers,1,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-22,Toronto Blue Jays,Miami Marlins,0,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-22,New York Mets,Atlanta Braves,0,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-22,St. Louis Cardinals,Tampa Bay Rays,1,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-22,Minnesota Twins,Chicago White Sox,0,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-22,Cleveland Guardians,Texas Rangers,1,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-22,San Francisco Giants,Milwaukee Brewers,1,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-22,Chicago Cubs,Los Angeles Angels,0,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-22,Cincinnati Reds,Arizona Diamondbacks,1,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-22,Los Angeles Dodgers,San Diego Padres,1,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-22,Athletics,Seattle Mariners,1,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-21,Athletics,Minnesota Twins,0,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-21,Texas Rangers,Kansas City Royals,1,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-21,Milwaukee Brewers,Chicago Cubs,0,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-21,Los Angeles Dodgers,Colorado Rockies,0,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-21,New York Mets,Washington Nationals,1,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-21,San Francisco Giants,San Diego Padres,1,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-21,Houston Astros,Baltimore Orioles,0,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-21,Boston Red Sox,New York Yankees,0,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-21,St. Louis Cardinals,Tampa Bay Rays,0,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-20,Toronto Blue Jays,Pittsburgh Pirates,1,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-20,Seattle Mariners,Philadelphia Phillies,1,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-20,Houston Astros,Detroit Tigers,1,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-20,Cleveland Guardians,Arizona Diamondbacks,1,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-20,St. Louis Cardinals,Miami Marlins,1,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-20,New York Mets,Washington Nationals,1,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-20,Chicago White Sox,Atlanta Braves,1,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-20,New York Yankees,Tampa Bay Rays,0,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-20,Texas Rangers,Kansas City Royals,0,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-20,Athletics,Minnesota Twins,0,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-20,Milwaukee Brewers,Chicago Cubs,1,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-20,Los Angeles Dodgers,Colorado Rockies,1,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-20,Cincinnati Reds,Los Angeles Angels,1,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-20,San Francisco Giants,San Diego Padres,1,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-19,Milwaukee Brewers,Chicago Cubs,1,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-19,Milwaukee Brewers,Chicago Cubs,1,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-19,Houston Astros,Detroit Tigers,1,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-19,Toronto Blue Jays,Pittsburgh Pirates,0,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-19,St. Louis Cardinals,Miami Marlins,0,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-19,New York Mets,Washington Nationals,0,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-19,Seattle Mariners,Philadelphia Phillies,1,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-19,Baltimore Orioles,Boston Red Sox,0,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-19,Chicago White Sox,Atlanta Braves,1,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-19,New York Yankees,Tampa Bay Rays,0,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-19,Texas Rangers,Kansas City Royals,1,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-19,Athletics,Minnesota Twins,0,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-19,Los Angeles Dodgers,Colorado Rockies,0,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-19,Cincinnati Reds,Los Angeles Angels,0,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-19,Cleveland Guardians,Arizona Diamondbacks,1,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-19,San Francisco Giants,San Diego Padres,1,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-18,Milwaukee Brewers,Chicago Cubs,0,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-18,Houston Astros,Detroit Tigers,1,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-18,Toronto Blue Jays,Pittsburgh Pirates,1,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-18,St. Louis Cardinals,Miami Marlins,0,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-18,Seattle Mariners,Philadelphia Phillies,1,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-18,Baltimore Orioles,Boston Red Sox,0,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-18,Chicago White Sox,Atlanta Braves,0,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-18,Texas Rangers,Kansas City Royals,1,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-18,Los Angeles Dodgers,Colorado Rockies,1,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-18,Cincinnati Reds,Los Angeles Angels,0,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-18,Cleveland Guardians,Arizona Diamondbacks,0,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-18,San Francisco Giants,San Diego Padres,0,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-17,Philadelphia Phillies,Washington Nationals,0,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-17,Miami Marlins,Boston Red Sox,0,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-17,Texas Rangers,Toronto Blue Jays,0,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-17,Atlanta Braves,Cleveland Guardians,0,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-17,Milwaukee Brewers,Cincinnati Reds,1,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-17,Baltimore Orioles,Houston Astros,0,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-17,Detroit Tigers,Minnesota Twins,1,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-17,Chicago White Sox,Kansas City Royals,1,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-17,New York Yankees,St. Louis Cardinals,0,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-17,Pittsburgh Pirates,Chicago Cubs,1,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-17,Arizona Diamondbacks,Colorado Rockies,1,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-17,Los Angeles Angels,Athletics,0,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-17,Tampa Bay Rays,San Francisco Giants,1,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-17,San Diego Padres,Los Angeles Dodgers,1,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-17,Seattle Mariners,New York Mets,1,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-16,Pittsburgh Pirates,Chicago Cubs,1,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-16,Texas Rangers,Toronto Blue Jays,1,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-16,Philadelphia Phillies,Washington Nationals,1,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-16,Seattle Mariners,New York Mets,1,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-16,Miami Marlins,Boston Red Sox,1,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-16,Milwaukee Brewers,Cincinnati Reds,0,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-16,Baltimore Orioles,Houston Astros,1,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-16,Atlanta Braves,Cleveland Guardians,0,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-16,Chicago White Sox,Kansas City Royals,1,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-16,Detroit Tigers,Minnesota Twins,0,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-16,New York Yankees,St. Louis Cardinals,0,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-16,Arizona Diamondbacks,Colorado Rockies,1,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-16,Tampa Bay Rays,San Francisco Giants,0,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-16,San Diego Padres,Los Angeles Dodgers,1,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
2025-08-16,Los Angeles Angels,Athletics,1,4.5,4.5,1.35,1.35,8.0,8.0,0.0,0.0,0.0,0.0,1.45,1.45,1,0.0
